ciudad,redaccion,fecha,temperatura,texto_madrugada,texto_mañana,texto_tarde,texto_noche,icono_madrugada,icono_mañana,icono_tarde,icono_noche
Visviri,Información redactada el día viernes 23 a las 05:19 hrs.,viernes 23,/21,,Nubosidad parcial,Nublado,Nubosidad parcial,,parcialalta.png,parcial.png,parcialaltanoche.png
Visviri,Información redactada el día viernes 23 a las 05:19 hrs.,sábado 24,0/20,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Visviri,Información redactada el día viernes 23 a las 05:19 hrs.,domingo 25,0/19,Despejado,Nubosidad parcial,Nublado,Nubosidad parcial,despejadonoche.png,parcialalta.png,parcial.png,parcialaltanoche.png
Visviri,Información redactada el día viernes 23 a las 05:19 hrs.,lunes 26,2/18,Nubosidad parcial,Nubosidad parcial,Nublado,Nublado,parcialaltanoche.png,parcialalta.png,parcial.png,parcialnoche.png
Visviri,Información redactada el día viernes 23 a las 05:19 hrs.,martes 27,1/18,Nublado,Nubosidad parcial,Nublado,Nublado,parcialnoche.png,parcialalta.png,parcial.png,parcialnoche.png
Arica,Información redactada el día viernes 23 a las 05:20 hrs.,viernes 23,/23,,Cubierto variando a despejado,Despejado,Despejado,,cubierto.png,despejado.png,despejadonoche.png
Arica,Información redactada el día viernes 23 a las 05:20 hrs.,sábado 24,20/23,Despejado variando a nublado,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Arica,Información redactada el día viernes 23 a las 05:20 hrs.,domingo 25,18/23,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Arica,Información redactada el día viernes 23 a las 05:20 hrs.,lunes 26,18/23,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Arica,Información redactada el día viernes 23 a las 05:20 hrs.,martes 27,19/23,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Putre,Información redactada el día viernes 23 a las 05:19 hrs.,viernes 23,/17,,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,,parcialalta.png,parcialalta.png,parcialaltanoche.png
