ciudad,redaccion,fecha,temperatura,texto_madrugada,texto_mañana,texto_tarde,texto_noche,icono_madrugada,icono_mañana,icono_tarde,icono_noche
Visviri,Información redactada el día jueves 22 a las 04:46 hrs.,jueves 22,/21,,Nubosidad parcial,Nublado y chubascos aislados,Nublado,,parcialalta.png,chubascos.png,parcialnoche.png
Visviri,Información redactada el día jueves 22 a las 04:46 hrs.,viernes 23,2/21,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Visviri,Información redactada el día jueves 22 a las 04:46 hrs.,sábado 24,2/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Visviri,Información redactada el día jueves 22 a las 04:46 hrs.,domingo 25,2/20,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Visviri,Información redactada el día jueves 22 a las 04:46 hrs.,lunes 26,2/20,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Arica,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/25,,Nublado variando a despejado,Despejado,Despejado,,parcial.png,despejado.png,despejadonoche.png
Arica,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,20/24,Cubierto,Cubierto variando a despejado,Despejado,Despejado,cubierto.png,cubierto.png,despejado.png,despejadonoche.png
Arica,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,20/24,Cubierto,Cubierto,Nublado variando a despejado,Despejado,cubierto.png,cubierto.png,parcial.png,despejadonoche.png
Arica,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,18/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Arica,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,18/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Putre,Información redactada el día jueves 22 a las 04:46 hrs.,jueves 22,/15,,Nubosidad parcial,Nublado,Nublado,,parcialalta.png,parcial.png,parcialnoche.png
Putre,Información redactada el día jueves 22 a las 04:46 hrs.,viernes 23,6/16,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Putre,Información redactada el día jueves 22 a las 04:46 hrs.,sábado 24,6/16,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Putre,Información redactada el día jueves 22 a las 04:46 hrs.,domingo 25,6/16,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Putre,Información redactada el día jueves 22 a las 04:46 hrs.,lunes 26,6/16,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Colchane,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/20,,Despejado,Nubosidad parcial,Nubosidad parcial,,despejado.png,parcialalta.png,parcialaltanoche.png
Colchane,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,7/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Colchane,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,7/20,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Colchane,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,4/20,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Colchane,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,4/20,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/24,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,18/24,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado variando a nublado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,19/24,Cubierto,Nublado variando a despejado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/33,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,9/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,8/33,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,8/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,9/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
